x,y
16.077960407363445,11.23500736954458
16.355347581148493,10.819165600222572
16.621965013586156,10.396194611101926
16.87681265506677,9.966162953674532
17.121869169520508,9.530344396556796
17.353594471864703,9.08739525508091
17.575974047356226,8.639598935676963
17.783988530723477,8.184975837536294
17.98217241756432,7.726017683715855
18.16601301621271,7.2610500215451514
18.33971799920559,6.792321151262492
18.4999755105385,6.318711495252581
18.64850620407693,5.841418470915086
18.7847774229218,5.36035905254185
18.907718205480776,4.875838310555643
19.019660018573436,4.388540022320127
19.116777317410268,3.8981628959858146
19.203548660608746,3.405777123510555
19.2746115934849,2.9109000418498443
19.335030426399854,2.4146460895208666
19.379874213807433,1.9166790345380575
19.414541381291464,1.4179743199454484
19.435354480969796,0.9184295912438935
19.445211193064083,0.41857042069767203
19.43773618556385,-0.08128848713360814
19.419241923689842,-0.5809768582539876
19.38640826191387,-1.0798561042814312
19.34333378978022,-1.5779055779253246
19.28410862004124,-2.0743828989198594
19.214500034650452,-2.569396253597731
19.13047772768021,-3.0622748005705995
19.034646901681324,-3.5528735909293525
18.925979267826456,-4.040909680305438
18.80419501866338,-4.525720390983388
18.67115555386151,-5.007685533178172
18.523806185039547,-5.4853687884785645
18.366488386559833,-5.959958429557213
18.194168575303838,-6.429265984601149
18.011724671964515,-6.894714237406299
17.814700387880986,-7.3542516212648
17.608046263978615,-7.809418900413113
17.388195194009093,-8.258478433781203
17.15763494476419,-8.702001363148868
16.915510722534073,-9.1394527884939
16.66169031728923,-9.570089784277272
16.397902373654205,-9.994831929147816
16.12157812253893,-10.411411980571234
15.836557867569013,-10.822199531421463
15.538638422205661,-11.22368269077613
15.2321082718565,-11.618608083059943
14.913143803807436,-12.003629745220955
14.586457835000806,-12.382008502146714
14.249871173829735,-12.751738068615435
13.908587914658238,-13.117097784874456
13.564295332487394,-13.479703634925839
13.220763746738779,-13.843007902269576
12.878216556041163,-14.207237725417652
12.540447741860035,-14.57583903292249
12.206985865304414,-14.948392861431984
11.881144507356854,-15.327585308520149
11.55989226709135,-15.710704899246851
11.247423383792745,-16.10101727721577
10.939603778075298,-16.494996361386974
10.640617989418164,-16.895732435116276
10.346484552851052,-17.300021544228272
10.060827214065679,-17.710349732431087
9.780824396774012,-18.12454829161761
9.508800315589973,-18.544029478748513
9.243261124556664,-18.967644672511724
8.985160806747983,-19.39583016753585
8.734401101432583,-19.82835802000099
8.490500454196308,-20.264790015639612
8.254818573593797,-20.705715985727608
8.025378623410745,-21.14992802673163
7.805055033713176,-21.598727615755116
7.5903216589594384,-22.05024507576038
7.385546522647261,-22.50635555799918
7.186110699140311,-22.96484056817445
6.99713687053992,-23.42773354816564
6.813648570922802,-23.892818446444718
6.6405212199032135,-24.361868742823212
6.473088312672392,-24.832963500317533
6.3154616525227585,-25.307434509075467
6.16438912591527,-25.784025577110732
6.022431002052288,-26.26340979711081
